time,open,high,low,close,volume
2018-01-02,9.9,9.9,9.9,9.9,0
2018-01-03,9.9,9.9,9.9,9.9,0
2018-01-04,9.9,9.9,9.9,9.9,0
2018-01-05,9.9,9.9,9.9,9.9,0
2018-01-08,9.9,9.9,9.9,9.9,0
2018-01-09,9.9,9.9,9.9,9.9,0
2018-01-10,6.0,6.0,6.0,6.0,38000
2018-01-11,6.0,6.0,6.0,6.0,0
2018-01-12,6.0,6.0,6.0,6.0,98
2018-01-15,6.0,6.0,6.0,6.0,0
2018-01-16,6.0,6.0,6.0,6.0,0
2018-01-17,6.0,6.0,6.0,6.0,0
2018-01-18,6.0,6.0,6.0,6.0,0
2018-01-19,6.0,6.0,6.0,6.0,0
2018-01-22,6.0,6.0,6.0,6.0,0
2018-01-23,6.0,6.0,6.0,6.0,0
2018-01-24,6.0,6.0,6.0,6.0,12
2018-01-25,6.0,6.0,6.0,6.0,0
2018-01-26,6.0,6.0,6.0,6.0,0
2018-01-29,6.0,6.0,6.0,6.0,0
2018-01-30,6.0,6.0,6.0,6.0,0
2018-01-31,6.0,6.0,6.0,6.0,0
2018-02-01,6.0,6.0,6.0,6.0,0
2018-02-02,6.0,6.0,6.0,6.0,0
2018-02-05,6.0,6.0,6.0,6.0,0
2018-02-06,6.0,6.0,6.0,6.0,0
2018-02-07,6.0,6.0,6.0,6.0,0
2018-02-08,6.0,6.0,6.0,6.0,0
2018-02-09,6.0,6.0,6.0,6.0,0
2018-02-12,6.0,6.0,6.0,6.0,0
2018-02-13,6.0,6.0,6.0,6.0,12
2018-02-21,6.0,6.0,6.0,6.0,0
2018-02-22,6.9,6.0,6.9,6.9,100
2018-02-23,7.9,7.9,7.9,7.9,100
2018-02-26,9.0,9.0,9.0,9.0,100
2018-02-27,10.3,10.3,10.3,10.3,100
2018-02-28,10.3,10.3,10.3,10.3,0
2018-03-01,10.3,10.3,10.3,10.3,0
2018-03-02,10.3,10.3,10.3,10.3,0
2018-03-05,10.3,10.3,10.3,10.3,0
2018-03-06,10.3,10.3,10.3,10.3,0
